iter	RMSE
0	5.455189298
1	5.279343855
2	5.123650175
3	4.990716212
4	4.885681156
5	4.788090985
6	4.70453178
7	4.614101081
8	4.532640771
9	4.456315392
10	4.393720922
11	4.336610408
12	4.292365959
13	4.251967259
14	4.212182123
15	4.180872748
16	4.140065699
17	4.113004459
18	4.088868818
19	4.058552502
20	4.027932051
21	3.997000242
22	3.977385743
23	3.962417126
24	3.946149703
25	3.922847677
26	3.91341824
27	3.899145627
28	3.886861614
29	3.879859498
30	3.864303554
31	3.857708275
32	3.848309099
33	3.832897311
34	3.819661226
35	3.813330557
36	3.801854549
37	3.793969595
38	3.780579587
39	3.775966361
40	3.770102641
41	3.76464718
42	3.761024866
43	3.757751831
44	3.753413187
45	3.749081094
46	3.74513759
47	3.740939922
48	3.737585189
49	3.735965871
50	3.729904235
51	3.727363581
52	3.719161455
53	3.719073793
54	3.717926881
55	3.711782476
56	3.703556762
57	3.701101289
58	3.698361128
59	3.694429677
60	3.691836807
61	3.68785919
62	3.685913197
63	3.681940435
64	3.67746249
65	3.675058063
66	3.669894612
67	3.660754357
68	3.658033548
69	3.657948211
70	3.653850628
71	3.649561154
72	3.648010387
73	3.64547256
74	3.644893268
75	3.64303718
76	3.640117686
77	3.636423807
78	3.634477833
79	3.62118843
80	3.614535032
81	3.611802762
82	3.607438707
83	3.607053107
84	3.6011714
85	3.599088556
86	3.59469829
87	3.591092129
88	3.588340298
89	3.584407016
90	3.580401434
91	3.575921973
92	3.575702606
93	3.572393343
94	3.570163314
95	3.563073763
96	3.558063134
97	3.554789886
98	3.550601283
99	3.5436712
100	3.538858681
101	3.53567596
102	3.528189404
103	3.526465661
104	3.520538612
105	3.518949004
106	3.518064916
107	3.517709066
108	3.515402954
109	3.513914627
110	3.509906953
111	3.5079202
112	3.506120565
113	3.499882648
114	3.496025244
115	3.495921606
116	3.49226198
117	3.491377268
118	3.490319343
119	3.487948435
120	3.484769241
121	3.480239464
122	3.478983263
123	3.477119648
124	3.476747904
125	3.474941439
126	3.464991673
127	3.458720082
128	3.456800023
129	3.452470279
130	3.451127924
131	3.447968783
132	3.441420059
133	3.433746341
134	3.432492768
135	3.431957198
136	3.42741002
137	3.426706711
138	3.423236289
139	3.419919798
140	3.417516352
141	3.415359366
142	3.410985368
143	3.408606342
144	3.404182677
145	3.401875634
146	3.400434535
147	3.39842282
148	3.397262956
149	3.394213852
150	3.393612128
151	3.389500857
152	3.387510806
153	3.387101188
154	3.384895726
155	3.380931745
156	3.380593279
157	3.379956645
158	3.378658949
159	3.375212138
160	3.372645774
161	3.370493086
162	3.366840623
163	3.363814698
164	3.361505787
165	3.361195343
166	3.356005446
167	3.35353581
168	3.350636732
169	3.350069322
170	3.346050061
171	3.34302896
172	3.339769515
173	3.337402815
174	3.337029971
175	3.335264765
176	3.3323411
177	3.330092285
178	3.327644922
179	3.319726147
180	3.315661076
181	3.313843721
182	3.306610407
183	3.305147156
184	3.297847426
185	3.295168571
186	3.29403862
187	3.292154962
188	3.290651992
189	3.289312501
190	3.287314648
191	3.286107674
192	3.284823564
193	3.280026004
194	3.277862322
195	3.276600436
196	3.275501299
197	3.274436005
198	3.273668706
199	3.27340038
