iter	Passed	Remaining
0	67	67426
1	137	68511
2	203	67650
3	267	66574
4	329	65533
5	398	65963
6	460	65295
7	532	66043
8	602	66288
9	675	66843
10	736	66205
11	800	65906
12	863	65538
13	937	66020
14	1027	67468
15	1101	67747
16	1166	67437
17	1230	67109
18	1301	67209
19	1371	67185
20	1435	66931
21	1500	66726
22	1563	66409
23	1630	66314
24	1694	66071
25	1763	66055
26	1826	65828
27	1895	65789
28	1957	65556
29	2032	65706
30	2115	66130
31	2186	66149
32	2260	66250
33	2342	66563
34	2415	66607
35	2496	66856
36	2574	66998
37	2658	67313
38	2729	67255
39	2800	67210
40	2866	67053
41	2936	66987
42	3010	66993
43	3084	67009
44	3161	67088
45	3231	67012
46	3297	66866
47	3374	66918
48	3440	66771
49	3509	66678
50	3575	66534
51	3637	66312
52	3701	66141
53	3774	66121
54	3848	66117
55	3914	65980
56	3983	65905
57	4051	65800
58	4120	65715
59	4187	65603
60	4256	65521
61	4327	65477
62	4393	65351
63	4464	65297
64	4539	65291
65	4611	65265
66	4680	65174
67	4752	65139
68	4822	65072
69	4896	65053
70	4965	64974
71	5033	64882
72	5098	64742
73	5169	64688
74	5243	64672
75	5312	64591
76	5393	64647
77	5478	64759
78	5553	64739
79	5622	64661
80	5697	64637
81	5764	64537
82	5829	64409
83	5894	64273
84	5962	64189
85	6031	64102
86	6102	64040
87	6184	64098
88	6259	64077
89	6331	64022
90	6412	64051
91	6506	64216
92	6583	64208
93	6665	64239
94	6744	64254
95	6833	64350
96	6921	64437
97	6992	64355
98	7067	64325
99	7174	64571
100	7247	64511
101	7311	64373
102	7375	64228
103	7447	64159
104	7523	64125
105	7601	64114
106	7674	64046
107	7747	63990
108	7819	63922
109	7895	63883
110	7974	63868
111	8055	63871
112	8126	63788
113	8199	63727
114	8269	63639
115	8350	63639
116	8427	63599
117	8499	63529
118	8561	63384
119	8629	63281
120	8731	63426
121	8977	64609
122	9086	64789
123	9179	64851
124	9321	65250
125	9412	65287
126	9491	65243
127	9563	65148
128	9634	65051
129	9712	65001
130	9778	64866
131	9842	64718
132	9905	64573
133	10008	64682
134	10093	64670
135	10156	64523
136	10220	64381
137	10285	64246
138	10350	64113
139	10411	63958
140	10476	63822
141	10546	63724
142	10610	63586
143	10678	63476
144	10747	63371
145	10812	63247
146	10876	63112
147	10942	62994
148	11017	62927
149	11083	62806
150	11148	62680
151	11214	62563
152	11276	62425
153	11338	62287
154	11414	62227
155	11480	62111
156	11550	62022
157	11617	61909
158	11680	61782
159	11744	61657
160	11807	61530
161	11872	61413
162	11935	61289
163	12001	61180
164	12072	61095
165	12137	60978
166	12204	60875
167	12272	60776
168	12336	60658
169	12403	60559
170	12467	60443
171	12532	60331
172	12601	60240
173	12672	60155
174	12747	60095
175	12812	59984
176	12874	59864
177	12942	59767
178	13006	59654
179	13076	59571
180	13147	59492
181	13214	59392
182	13278	59282
183	13340	59161
184	13402	59044
185	13463	58920
186	13533	58840
187	13602	58750
188	13669	58657
189	13732	58543
190	13793	58424
191	13860	58330
192	13923	58219
193	13993	58137
194	14055	58021
195	14120	57924
196	14188	57834
197	14251	57725
198	14317	57630
199	14379	57518
200	14452	57448
201	14516	57345
202	14585	57263
203	14650	57164
204	14721	57089
205	14786	56993
206	14855	56911
207	14921	56817
208	14987	56724
209	15054	56631
210	15121	56542
211	15189	56458
212	15257	56373
213	15322	56276
214	15387	56181
215	15453	56090
216	15519	56000
217	15585	55909
218	15651	55816
219	15717	55726
220	15783	55634
221	15845	55531
222	15913	55445
223	15983	55373
224	16054	55298
225	16122	55215
226	16183	55107
227	16250	55023
228	16314	54927
229	16374	54817
230	16437	54721
231	16507	54645
232	16569	54544
233	16644	54485
234	16717	54420
235	16787	54346
236	16851	54250
237	16915	54156
238	16980	54066
239	17045	53976
240	17106	53876
241	17172	53788
242	17239	53704
243	17301	53605
244	17368	53523
245	17435	53440
246	17499	53349
247	17562	53254
248	17633	53183
249	17707	53121
250	17771	53031
251	17834	52937
252	17900	52851
253	17972	52784
254	18039	52705
255	18107	52624
256	18171	52535
257	18239	52455
258	18304	52368
259	18368	52279
260	18432	52190
261	18496	52100
262	18561	52014
263	18629	51935
264	18698	51862
265	18768	51790
266	18835	51708
267	18897	51615
268	18965	51537
269	19032	51459
270	19097	51373
271	19162	51286
272	19229	51209
273	19297	51130
274	19368	51063
275	19437	50988
276	19502	50904
277	19565	50813
278	19632	50735
279	19704	50667
280	19778	50607
281	19842	50521
282	19907	50437
283	19970	50346
284	20040	50277
285	20108	50200
286	20172	50115
287	20239	50037
288	20302	49947
289	20364	49857
290	20426	49767
291	20492	49687
292	20556	49601
293	20626	49531
294	20705	49483
295	20781	49426
296	20873	49408
297	20945	49341
298	21013	49264
299	21080	49186
300	21147	49109
301	21212	49028
302	21278	48947
303	21342	48863
304	21411	48789
305	21476	48708
306	21541	48626
307	21606	48543
