iter	RMSE
0	0.6870032577
1	0.668041322
2	0.6498388585
3	0.6330047728
4	0.6178612194
5	0.6042440619
6	0.5910820346
7	0.5790152537
8	0.5678499258
9	0.5576967326
10	0.5476696393
11	0.5388408975
12	0.5301971054
13	0.5221065133
14	0.5143164018
15	0.5080155223
16	0.5015730035
17	0.4958583982
18	0.4911987654
19	0.4858346799
20	0.4823699803
21	0.4783365781
22	0.4740959126
23	0.4705160271
24	0.4672665483
25	0.4645566968
26	0.4610298991
27	0.4582553086
28	0.4556350036
29	0.4528587841
30	0.4505550666
31	0.4492561411
32	0.4471558342
33	0.4452708967
34	0.4431535911
35	0.441723138
36	0.4406033399
37	0.4391941194
38	0.438001108
39	0.4367745354
40	0.4358065791
41	0.4350443836
42	0.4342312274
43	0.4334997046
44	0.4330818475
45	0.4326517893
46	0.4319599036
47	0.4311075484
48	0.4310050332
49	0.4308293722
50	0.4304010467
51	0.4299106205
52	0.4297725438
53	0.4294753497
54	0.4292980429
55	0.4291155067
56	0.4287298268
57	0.4281143934
58	0.4279560529
59	0.4274211262
60	0.42730727
61	0.427023255
62	0.4269189812
63	0.4266275231
64	0.4261392369
65	0.4258427144
66	0.4256601954
67	0.425378454
68	0.4250132156
69	0.424850213
70	0.4247606338
71	0.4245147744
72	0.4242293697
73	0.4241558792
74	0.4240266489
75	0.4235830362
76	0.4234980274
77	0.4231398717
78	0.4230897205
79	0.422868181
80	0.4227467905
81	0.4224991912
82	0.4220131605
83	0.4216017045
84	0.4212918657
85	0.4211770514
86	0.4208260192
87	0.4204374173
88	0.4197771054
89	0.4193434284
90	0.4192096599
91	0.4191199468
92	0.4189885811
93	0.4188077306
94	0.4186796424
95	0.4185082158
96	0.4181604913
97	0.4181005344
98	0.4178901108
99	0.417786631
100	0.4175252051
101	0.4171783593
102	0.4170808345
103	0.4166994719
104	0.4164351455
105	0.4159733679
106	0.4154838247
107	0.4153878719
108	0.4151701522
109	0.4149353383
110	0.4146244406
111	0.4142659461
112	0.4141656116
113	0.4141387034
114	0.4139262852
115	0.4137468975
116	0.4136420365
117	0.4132758863
118	0.4130882558
119	0.4128012086
120	0.4125101346
121	0.4122703739
122	0.411880645
123	0.4118323472
124	0.411574473
125	0.411476238
126	0.4112220378
127	0.4107066987
128	0.410578463
129	0.409990703
130	0.4098881569
131	0.4096862295
132	0.4096226687
133	0.4093936011
134	0.40900858
135	0.4088343326
136	0.4087905818
137	0.4086350389
138	0.4084410247
139	0.4081046879
140	0.4078837437
141	0.4075409967
142	0.4071948855
143	0.4071472829
144	0.4068486413
145	0.4067072782
146	0.4066744841
147	0.4062865224
148	0.4061924749
149	0.4058568731
150	0.4057380371
151	0.4057026105
152	0.4053741643
153	0.4051667744
154	0.4048973577
155	0.4044068986
156	0.4041742234
157	0.4038450426
158	0.4036074186
159	0.4033520285
160	0.4029963676
161	0.402777088
162	0.4026765812
163	0.4025879556
164	0.4025505033
165	0.4023710911
166	0.4023146761
167	0.4021471808
168	0.4020854823
169	0.4017795281
170	0.4015927542
171	0.4013957778
172	0.4013582123
173	0.4010434333
174	0.400991216
175	0.4008346249
176	0.4006478557
177	0.4005586652
178	0.4004255046
179	0.4003454183
180	0.400317414
181	0.400128253
182	0.3998738202
183	0.3995343254
184	0.3992249189
185	0.3991663652
186	0.3989461062
187	0.3988944795
188	0.398811542
189	0.3984308491
190	0.3982058535
191	0.3980250564
192	0.3976414093
193	0.3974074113
194	0.3971884337
195	0.3969105686
196	0.3968335161
197	0.3966073125
198	0.3965599495
199	0.3965180947
200	0.3961414742
201	0.3958606548
202	0.395457847
203	0.3953965286
204	0.3953103586
205	0.3952566228
206	0.3952086692
207	0.3951416292
208	0.3948221091
209	0.3946123794
210	0.3944178256
211	0.3940418711
212	0.3940052792
213	0.3937465454
214	0.3936032058
215	0.3935705392
216	0.3934394647
217	0.3933011724
218	0.392915352
219	0.3924864833
220	0.3922335605
221	0.3921486768
222	0.3920111464
223	0.3917301069
224	0.3916609718
225	0.3913965413
226	0.3910720546
227	0.3908851494
228	0.3908542054
229	0.390529263
230	0.3904970531
231	0.3900236523
232	0.3896707559
233	0.3893350445
234	0.3893050394
235	0.3890653984
236	0.3888716026
237	0.3884536645
238	0.3881956547
239	0.3880424072
240	0.3878564767
241	0.3876146259
242	0.3872093156
243	0.3869035296
244	0.3867328389
245	0.3866285787
246	0.3866006537
247	0.3864196408
248	0.3861671986
249	0.3860625144
250	0.3858070348
251	0.3856231777
252	0.3854601611
253	0.3852661007
254	0.3849688649
255	0.3846604174
256	0.3844221142
257	0.3842491862
258	0.3842275193
259	0.3841980835
260	0.3841073028
261	0.3838713852
262	0.3834695524
263	0.3831560509
264	0.3831353681
265	0.3827868551
266	0.382565517
267	0.3824390251
268	0.3821428106
269	0.381854579
270	0.3817628142
271	0.3816311971
272	0.3814256287
273	0.3814056978
274	0.3812552656
275	0.3810342799
276	0.3807455474
277	0.3805618534
278	0.3805241144
279	0.3802397912
280	0.3800908597
281	0.3798546979
282	0.3794176302
283	0.3793964401
284	0.3791829065
285	0.3790031718
286	0.3789088616
287	0.378616346
288	0.3784842319
289	0.3783076901
290	0.3781877187
291	0.3780746102
292	0.3779064046
293	0.3778232486
294	0.3776298428
295	0.3775423726
296	0.3771519228
297	0.3771235433
298	0.3769970013
299	0.3767309235
300	0.3765716354
301	0.3764766824
302	0.376297794
303	0.3761057957
304	0.3759679783
305	0.3756561485
306	0.375567425
307	0.3753243491
308	0.3751944775
309	0.3748113194
310	0.3745527621
311	0.3744721715
312	0.3743109394
313	0.37429353
314	0.3739474519
315	0.3736496624
316	0.3734184393
317	0.3732732183
318	0.3731716166
319	0.3730000303
320	0.3728138934
321	0.3725679322
322	0.3724274792
323	0.3721060403
324	0.3720834116
325	0.3720015921
326	0.3717279341
327	0.3716812938
328	0.3715962886
329	0.3715629611
330	0.3715368754
331	0.3713990309
332	0.3711003424
333	0.3708287796
334	0.3708121613
335	0.3707076173
336	0.3704452178
337	0.3702807235
338	0.3700931171
339	0.3700774548
340	0.3698676526
