iter	Passed	Remaining
0	64	12809
1	136	13503
2	197	12957
3	269	13213
4	342	13349
5	416	13474
6	487	13443
7	571	13716
8	651	13829
9	724	13772
10	785	13501
11	869	13618
12	939	13518
13	1014	13473
14	1092	13475
15	1172	13487
16	1242	13374
17	1309	13238
18	1397	13316
19	1493	13440
20	1586	13524
21	1685	13636
22	1761	13559
23	1840	13494
24	1907	13352
25	1933	12941
26	2006	12857
27	2090	12840
28	2159	12731
29	2233	12657
30	2309	12587
31	2377	12483
32	2457	12438
33	2478	12100
34	2566	12098
35	2646	12055
36	2674	11782
37	2739	11676
38	2777	11466
39	2843	11375
40	2922	11333
41	2994	11263
42	3062	11180
43	3141	11139
44	3210	11059
45	3301	11051
46	3385	11019
47	3453	10936
48	3516	10835
49	3593	10779
50	3659	10690
51	3724	10600
52	3791	10516
53	3867	10456
54	3938	10383
55	4016	10329
56	4090	10261
57	4165	10198
58	4201	10039
59	4275	9977
60	4343	9897
61	4368	9722
62	4409	9589
63	4495	9552
64	4561	9474
65	4637	9416
66	4707	9343
67	4770	9260
68	4795	9104
69	4868	9041
70	4951	8997
71	5025	8934
72	5126	8918
73	5223	8894
74	5329	8882
75	5428	8857
76	5529	8832
77	5617	8786
78	5687	8711
79	5760	8641
80	5839	8578
81	5918	8517
82	5991	8445
83	6060	8369
84	6124	8285
85	6193	8210
86	6275	8150
87	6350	8082
88	6435	8026
89	6515	7963
90	6583	7886
91	6649	7806
92	6719	7731
93	6789	7655
94	6868	7591
95	6928	7506
96	6998	7431
97	7063	7352
98	7139	7283
99	7228	7228
100	7317	7172
101	7406	7116
102	7477	7041
103	7553	6972
104	7622	6896
105	7692	6821
106	7759	6743
107	7833	6672
108	7893	6590
109	7971	6522
110	8041	6447
111	8103	6367
112	8181	6299
113	8249	6223
114	8320	6150
115	8388	6074
116	8457	5999
117	8521	5921
118	8588	5846
119	8664	5776
120	8729	5699
121	8796	5624
122	8880	5559
123	8958	5490
124	9022	5413
125	9095	5341
126	9164	5268
127	9249	5203
128	9344	5142
129	9418	5071
130	9486	4996
131	9552	4920
132	9618	4845
133	9695	4775
134	9781	4709
135	9858	4639
136	9931	4566
137	10002	4493
138	10082	4424
139	10155	4352
140	10238	4284
141	10321	4216
142	10394	4143
143	10485	4077
144	10564	4007
145	10643	3936
146	10722	3865
147	10786	3789
148	10856	3715
149	10931	3643
150	11013	3573
151	11128	3514
152	11214	3444
153	11315	3380
154	11412	3313
155	11502	3244
156	11588	3174
157	11663	3100
158	11730	3024
159	11809	2952
160	11878	2877
161	11946	2802
162	12015	2727
163	12088	2653
164	12158	2579
165	12238	2506
166	12321	2434
167	12393	2360
168	12476	2288
169	12545	2213
170	12624	2140
171	12685	2065
172	12745	1989
173	12825	1916
174	12894	1842
175	12978	1769
176	13062	1697
177	13132	1623
178	13222	1551
179	13322	1480
180	13412	1407
181	13509	1336
182	13596	1263
183	13666	1188
184	13744	1114
185	13819	1040
186	13885	965
187	13963	891
188	14038	817
189	14106	742
190	14172	667
191	14251	593
192	14318	519
193	14392	445
194	14476	371
195	14548	296
196	14614	222
197	14690	148
198	14765	74
199	14831	0
